{'reviewerId': 'rY8zJoH5xf8s5jO3HFoGZw', 'rank': 0.0001}
{'reviewerId': 'WAJPqo6KeN4F9FQJBwqlOg', 'rank': 0.0135}
{'reviewerId': 'PpWClACXIEWlnzEC5bVOJg', 'rank': 0.0135}
{'reviewerId': 'j9yNZAz25ZC2QU_vPcaVTg', 'rank': 0.0135}
{'reviewerId': 'TZ53SO335VUAeUt14E0eGQ', 'rank': 0.0135}
{'reviewerId': '_2cwhbkQr9f3CXMo7tYSog', 'rank': 0.0135}
{'reviewerId': 'jLa4R-IEtf40RjTwDtZ1Bw', 'rank': 0.0135}
{'reviewerId': 'b9doUUWLkz4-lxctrnkxqw', 'rank': 0.0135}
{'reviewerId': '4OD0Vuq38IcQlOf2qI3PnQ', 'rank': 0.0135}
{'reviewerId': 'M36eKrxmWHYJvzZs83aEVA', 'rank': 0.0135}
{'reviewerId': 'edlkxS5cnazN3iQVAaI5IQ', 'rank': 0.0135}
{'reviewerId': 'YWTvYMczr02O-okP1kqj6g', 'rank': 0.0135}
{'reviewerId': 'ojmthtVNIxnTi4AG4dDIaQ', 'rank': 0.0135}
{'reviewerId': 'ZftKc54UnKJSbuzyEg4SjA', 'rank': 0.0135}
{'reviewerId': 'k2zuwaAne-FhHd8M6bXnyQ', 'rank': 0.0135}
{'reviewerId': '4I5XKBrpWsBOVWlP8zly_A', 'rank': 0.0135}
{'reviewerId': '1WrXaPKsV9k7M0qXMn1gXw', 'rank': 0.0135}
{'reviewerId': 'QAR9dIy9c3dpq85ICbUxaw', 'rank': 0.0135}
{'reviewerId': 'T4gJBo6jA9BbbwDZT8M-Fw', 'rank': 0.0135}
{'reviewerId': 'HouF9zUPeul8_OV-eItE6w', 'rank': 0.0135}
{'reviewerId': 'f_WXCZaRHqy47npPxoAvIg', 'rank': 0.0135}
{'reviewerId': '5QVSMS-vV4jOgDLLPV75Mw', 'rank': 0.0135}
{'reviewerId': 'O32WKqxL-U6B2GoqsWHmDA', 'rank': 0.0135}
{'reviewerId': 'bA6sFAZTIc5ddwpnB_WJUw', 'rank': 0.0135}
{'reviewerId': 'BuLb6mmPyLqFNpWH6qWX3Q', 'rank': 0.0135}
{'reviewerId': '3MYdpmHeNwC6FquRWi3YOg', 'rank': 0.0135}
{'reviewerId': '7LTJEuot-o0Kn7Z8Og2lwQ', 'rank': 0.0135}
